service;species;value;reliability;cultural_condition
nitrogen_provision;Thelypteris phegopteris;0.05276836082339287;11.11111068725586;natural
storage_and_return_water;Brachypodium pinnatum;0.21743237972259521;83.33333587646484;natural
nitrogen_provision;Spergularia media;0.22355738282203674;44.44444274902344;natural
storage_and_return_water;Saposhnikovia divaricata;0.021452950313687325;16.66666603088379;natural
nitrogen_provision;Bupleurum falcatum;0.30335432291030884;44.44444274902344;natural
soil_structuration;Coelorachis rottboellioides;0.4895375669002533;55.55555725097656;natural
storage_and_return_water;Agrostis castellana;0.009959690272808075;16.66666603088379;natural
nitrogen_provision;Mollinedia viridiflora;0.4600125253200531;22.22222137451172;natural
nitrogen_provision;Chondrosum gracile;0.3851177990436554;77.77777862548828;natural
nitrogen_provision;Juncus filiformis;0.29908487200737;44.44444274902344;natural
storage_and_return_water;Limonium bicolor;0.06926479190587997;16.66666603088379;natural
storage_and_return_water;Solidago chilensis;0.013057655654847622;16.66666603088379;natural
nitrogen_provision;Astragalus mollissimus;1;11.11111068725586;natural
storage_and_return_water;Salvia viridis;0.16265760362148285;16.66666603088379;natural
soil_structuration;Carex humilis;0.026739582419395447;44.44444274902344;natural
soil_structuration;Oenothera biennis;0.10387314856052399;11.11111068725586;natural
nitrogen_provision;Anigozanthos humilis;0.06741621345281601;22.22222137451172;natural
nitrogen_provision;Clarkia unguiculata;0;11.11111068725586;natural
storage_and_return_water;Encyclia;0.045109666883945465;16.66666603088379;natural
storage_and_return_water;Viola canina subsp. montana;0.03475360944867134;16.66666603088379;natural
nitrogen_provision;Allium subhirsutum;0;11.11111068725586;natural
nitrogen_provision;Euphorbia humifusa;0.6923549175262451;33.33333206176758;natural
nitrogen_provision;Tragopogon capitatus;0;11.11111068725586;natural
nitrogen_provision;Carex sempervirens;0.15980634093284607;66.66666412353516;natural
nitrogen_provision;Koeleria pyramidata;0.45253080129623413;44.44444274902344;natural
storage_and_return_water;Stellaria caespitosa;0.027734536677598953;16.66666603088379;natural
storage_and_return_water;Euthamia caroliniana;0.04204888269305229;16.66666603088379;natural
nitrogen_provision;Myrrhidendron donnellsmithii;0.11133876442909241;11.11111068725586;natural
storage_and_return_water;Poa compressa;0.2230025678873062;50;natural
nitrogen_provision;Crepidiastrum denticulatum;0.6945102214813232;33.33333206176758;natural
nitrogen_provision;Ophioglossum vulgatum;0.5589457750320435;22.22222137451172;natural
nitrogen_provision;Glyceria notata;0.5715299248695374;22.22222137451172;natural
nitrogen_provision;Wyethia amplexicaulis;0.5982815027236938;33.33333206176758;natural
nitrogen_provision;Scaevola aemula;0.010892693884670734;11.11111068725586;natural
nitrogen_provision;Lactuca quercina;0.49653005599975586;22.22222137451172;natural
storage_and_return_water;Linnaea borealis;0.19458039104938507;16.66666603088379;natural
storage_and_return_water;Prunella vulgaris;0.2721882462501526;66.66666412353516;natural
storage_and_return_water;Pisum sativum;0.031539853662252426;16.66666603088379;natural
storage_and_return_water;Fragaria virginiana;0.22450585663318634;50;natural
storage_and_return_water;Valeriana fedtschenkoi;0.11844431608915329;16.66666603088379;natural
storage_and_return_water;Pedicularis sudetica;0.12007316946983337;16.66666603088379;natural
nitrogen_provision;Indigofera dimidiata;1;11.11111068725586;natural
storage_and_return_water;Carex digitata;0.16913485527038574;16.66666603088379;natural
storage_and_return_water;Sisyrinchium pendulum;0.12319812923669815;16.66666603088379;natural
